year,N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N2,N20,N3,N4,N5,N6,N7,N8,N9,N_isotopes
1897,NA,NA,NA,NA,1671.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1671.556
1898,NA,NA,NA,NA,1991.926351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991.926351
1899,NA,NA,NA,NA,1219.381071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1219.381071
1900,NA,NA,NA,NA,1520.380016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520.380016
1901,NA,NA,NA,NA,1676.831393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1676.831393
1902,NA,NA,NA,NA,1844.023247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1844.023247
1903,NA,NA,NA,NA,1907.649609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1907.649609
1904,NA,NA,NA,NA,1993.675464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993.675464
1905,NA,NA,NA,NA,1892.233531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1892.233531
1906,NA,NA,NA,NA,2197.376426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2197.376426
1907,NA,NA,NA,NA,1716.671092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1691.015527,NA,NA,1703.84331
1908,NA,NA,NA,NA,1060.571269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2401.048139,NA,NA,1730.809704
1909,NA,NA,NA,NA,1672.724327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5065.309216,NA,2523.895219,NA,NA,3087.309587
1910,NA,NA,NA,NA,1218.61069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6219.809173,NA,1167.607153,NA,NA,2868.675672
1911,NA,NA,NA,NA,2628.289715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5674.111388,NA,1572.185602,NA,NA,3291.528901
1912,NA,NA,NA,NA,1290.52228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4830.216141,NA,1599.359939,NA,NA,2573.36612
1913,NA,NA,NA,NA,1315.655021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2541.990636,NA,1368.838917,NA,NA,1742.161525
1914,NA,NA,NA,NA,1700.309081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957.862376,NA,1623.320803,NA,NA,1760.49742
1915,NA,NA,NA,NA,1054.661619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935.180391,NA,1651.70459,NA,NA,1547.1822
1916,NA,NA,NA,NA,1090.54643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1591.276998,NA,1484.617162,NA,NA,1388.81353
1917,NA,NA,NA,NA,1212.516409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1509.498356,NA,2597.590009,NA,NA,1773.201591
1918,NA,NA,NA,NA,1267.170539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319.712746,4169.961467,1995.593438,NA,NA,1860.825574
1919,NA,NA,NA,NA,724.6177703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3227.401016,3730.566129,1827.721806,NA,NA,1926.580197
1920,NA,NA,NA,NA,1135.574689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3957.528354,2464.473125,1704.837278,NA,NA,2265.980107
1921,NA,NA,NA,NA,986.4299025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4082.290737,1915.89186,1928.029529,NA,NA,2332.250056
